Hazard,Sub-types,Overarching type,Related to (overarching only),Hazard Alias,Hazard definition,Source of definition,Associated indices,Commentary,,
Drought,,,,,"A drought is a deficiency of precipitation over an extended period of time resulting in a water shortage. Drought conditions range from dry weather patterns and low water supply to impacts on crops, ecosystems, and disruptions in supply and demand for various commodities.",https://www.drought.gov/what-is-drought/drought-basics,"Potential Soil Moisture Deficit, SPI drought, SPEI drought, Rainfall, Low flows (2-year return period), Low flows (10-year return period), Low flows (likelihood of current 10-year event), Soil moisture, River runoff, Total precipitation, Consecutive Dry Days, Meteorological Drought Duration, Meteorological Drought Magnitude, Aridity Actual, Mean Soil Moisture, River discharge, CDD, SPEI, SPI, altCDD, Potential Evapotranspiration (PET: Penman-Monteith), Potential Evapotranspiration (PET: Makkink), Self-calibrating Palmer Drought Severity Index (scPDSI)",,,
Drought,Hydrological drought,,,,"Prolonged period of below-normal precipitation, causing deficiencies in water supply, as measured by below-normal streamflow, lake and reservoir levels, groundwater levels, and depleted soil moisture content.",https://glossary.ametsoc.org/wiki/Hydrological_drought,"Potential Soil Moisture Deficit, SPI drought, SPEI drought, Rainfall, Low flows (2-year return period), Low flows (10-year return period), Low flows (likelihood of current 10-year event), Soil moisture, River runoff, Total precipitation, Consecutive Dry Days, Meteorological Drought Duration, Meteorological Drought Magnitude, Aridity Actual, Mean Soil Moisture, River discharge, CDD, SPEI, SPI, altCDD, Potential Evapotranspiration (PET: Penman-Monteith), Potential Evapotranspiration (PET: Makkink), Self-calibrating Palmer Drought Severity Index (scPDSI)","Indices related to soil moisture, precipitation and river flow",,
Drought,Agricultural drought,,,,"Conditions that result in adverse crop responses, usually because plants cannot meet potential transpiration as a result of high atmospheric demand and/or limited soil moisture.",https://glossary.ametsoc.org/wiki/Agricultural_drought,"Potential Soil Moisture Deficit, SPI drought, SPEI drought, Rainfall,Soil moisture, Total precipitation, Consecutive Dry Days, Meteorological Drought Duration, Meteorological Drought Magnitude, Aridity Actual, Mean Soil Moisture, CDD, SPEI, SPI, altCDD, Potential Evapotranspiration (PET: Penman-Monteith), Potential Evapotranspiration (PET: Makkink), Self-calibrating Palmer Drought Severity Index (scPDSI)","Indices related to soil moisture, precipitation and evapotranspiration",,Self-calibrating Palmer Drought Severity Index (scPDSI)
Drought,Snow drought,,,,"Snow drought occurs when there is a period of abnormally low snowpack for the time of year in question. Snow drought is described as either dry or warm, depending on whether the drought is a result of below-normal cold-season precipitation (dry) or a lack of snow accumulation despite near-normal precipitation, usually as a result of warm temperatures that cause precipitation to fall as rain rather than snow or an unusually early snowmelt (warm).",https://glossary.ametsoc.org/wiki/Snow_drought,"ID, total precipitation, mean temperature, minimum temperature (seasonal!)","Indices related to ID, total precipitation (seasonal) is low, mean temperature and minimum temperature (seasonal) is higher than normal",,
Drought,Flash drought,,,,"An unusually rapid onset drought event characterized by a multiweek period of accelerated intensification that culminates in impacts to one or more sectors (agricultural, hydrological, etc.).",https://glossary.ametsoc.org/wiki/Flash_drought,"Potential Soil Moisture Deficit, SPI drought, SPEI drought, Rainfall, Low flows (2-year return period), Low flows (10-year return period), Low flows (likelihood of current 10-year event), Soil moisture, River runoff, Total precipitation, Consecutive Dry Days, Meteorological Drought Duration, Meteorological Drought Magnitude, Aridity Actual, Mean Soil Moisture, River discharge, CDD, SPEI, SPI, altCDD, Potential Evapotranspiration (PET: Penman-Monteith), Potential Evapotranspiration (PET: Makkink), Self-calibrating Palmer Drought Severity Index (scPDSI)",All indices above,,
Drought,Meteorological drought,,,,"Meteorological drought is defined usually on the basis of the degree of dryness (in comparison to some “normal” or average amount) and the duration of the dry period. Definitions of meteorological drought must be considered as region specific since the atmospheric conditions that result in deficiencies of precipitation are highly variable from region to region. For example, some definitions of meteorological drought identify periods of drought on the basis of the number of days with precipitation less than some specified threshold. This measure is only appropriate for regions characterized by a year-round precipitation regime such as a tropical rainforest, humid subtropical climate, or humid mid-latitude climate. Locations such as Manaus, Brazil; New Orleans, Louisiana (U.S.A.); and London, England, are examples. Other climatic regimes are characterized by a seasonal rainfall pattern, such as the central United States, northeast Brazil, West Africa, and northern Australia. Extended periods without rainfall are common in Omaha, Nebraska (U.S.A.); Fortaleza, Ceará (Brazil); and Darwin, Northwest Territory (Australia), and a definition based on the number of days with precipitation less than some specified threshold is unrealistic in these cases. Other definitions may relate actual precipitation departures to average amounts on monthly, seasonal, or annual time scales.",https://drought.unl.edu/Education/DroughtIn-depth/TypesofDrought.aspx,"SPI drought, SPEI drought, Rainfall, Total precipitation, Consecutive Dry Days, Meteorological Drought Duration, Meteorological Drought Magnitude, CDD, SPEI, SPI, altCDD","Focus on precipiation amount above some threshold, according to local climatology (at monthly, seasonal, annual time scales)",,
Drought,Ecological drought,,,,"An episodic deficit in water availability that drives ecosystems beyond thresholds of vulnerability, impacts ecosystem services, and triggers feedbacks in natural and/or human systems.",https://doi.org/10.1175/BAMS-D-16-0292.1,"Potential Soil Moisture Deficit, SPI drought, SPEI drought, Rainfall, Low flows (2-year return period), Low flows (10-year return period), Low flows (likelihood of current 10-year event), Soil moisture, River runoff, Total precipitation, Consecutive Dry Days, Meteorological Drought Duration, Meteorological Drought Magnitude, Aridity Actual, Mean Soil Moisture, River discharge, CDD, SPEI, SPI, altCDD, Potential Evapotranspiration (PET: Penman-Monteith), Potential Evapotranspiration (PET: Makkink), Self-calibrating Palmer Drought Severity Index (scPDSI)",Could be any of the indices associated with drought (as above),,
Drought,Groundwater drought,,,,"Groundwater drought is the sustained and extensive occurrence of below average availability of groundwater. Groundwater droughts are marked by lower than average water levels in aquifers, borehole and wells, and by reduced flows to groundwater-fed rivers and wetlands. Related to hydrological drought.",https://www.bgs.ac.uk/groundwater/flooding-and-drought/groundwater-drought-research-overview/,"Supply side: SPI drought, Potential Evapotranspiration (PET: Penman-Monteith), Potential Evapotranspiration (PET: Makkink)","A subtype of hydrological drought. In practice, SPI is the most common index to derive groundwater level indices that indicate groundwater drought like standartised groundwater level index (SGI) (Bloomfield and Marchant, 2013; https://hess.copernicus.org/articles/17/4769/2013/). In practice, some also use PET (Mustafa et al., 2017 https://link.springer.com/article/10.1007/s10040-017-1547-7)",,
Drought,Wind drought,,,,"A period where the instantaneous power output from wind farms is continuously below a specified threshold. Alternatively, wind droughts can be defined in terms of being below a specified threshold of the moving average of the wind energy time series, which can result in identification of longer drought period.",https://doi.org/10.1016/j.renene.2023.119847,Mean wind speed,"Index related to mean wind speed; Richardson et al. (2023) use daily mean wind speed falling below the 25th percentile (first quartile) of the 1959–2021 climatology, computed over all area of power generation. https://doi.org/10.1038/s41612-023-00507-y",,
Fluvial flooding ,,,,River flooding,"Fluvial flooding, which is also referred to as river or riverine flooding, is caused by unusually high water levels in rivers, caused by increased runoff from heavy or prolonged rainfall. Flooding occurs when the amount of water exceeds the capacity of the river channel, and overtopping of river banks occurs.",https://handbook.climaax.eu/notebooks/workflows/FLOODS/02_River_flooding/FLOOD_RIVER_intro.html,"River discharge, River Flood (likelihood of current 10-year event), River Flood (2-year return period), River Flood (5-year return period), River Flood (10-year return period), River runoff",,,
