Name,Units,Definition,Source,Associated variable,Commentary,Link to CLIMDEX,CLIMDEX relation,Linked indicators,Linked indicator relation,Sector,,Source,Link to source
Average temperature,°C change from 1981-2010 mean,Seasonal average temperature,UK CRI,tas,"Like TMm, but for seasonal instead of daily mean temperatures",TMm,relatedTo,Mean temperature,relatedTo,,,UK CRI,https://uk-cri.org/
Minimum temperature,°C change from 1981-2010 mean,Seasonal average minimum temperature,UK CRI,tmin,"Like TNm, but for seasonal instead of daily min temperatures",TNm,relatedTo,Minimum temperature (climateADAPT),relatedTo,"Human health, Agriculture and Food Security, Biodiversity",,Climate ADAPT,https://climate-adapt.eea.europa.eu/en/knowledge/european-climate-data-explorer/overview-list
Maximum temperature,°C change from 1981-2010 mean,Seasonal average maximum temperature,UK CRI,tmax,"Like TXm, but for seasonal instead of daily max temperatures",TXm,relatedTo,Maximum temperature (climateADAPT),relatedTo,"Human health, Agriculture and Food Security, Biodiversity",,Copernicus CCS,https://surfobs.climate.copernicus.eu/userguidance/indicesdictionary.php
Rainfall,% change from 1981-2010 mean,Seasonal total rainfall,UK CRI,pr/prra,"If using pr, requires aux data like temperature to control for solid phase",,,Total precipitation,relatedTo,,,,https://www.ecad.eu/documents/atbd.pdf
Record-breaking weather (hottest day),Days/year,Number of days per year at least as hot as the hottest day (Tmax) between 1981 and 2010,UK CRI,tasmax,In relation to max(TXx over 1981-2010),TXx,derivedFrom,,,"Human health, Disaster Risk Reduction, Energy, Agriculture and Food Security, Forestry/GHG",,,
Record-breaking weather (hottest month),Months/year,Number of months per year at least as hot as the hottest month (Tmax) between 1981 and 2010,UK CRI,tasmax,,,,,,"Human health, Disaster Risk Reduction, Energy, Agriculture and Food Security, Forestry/GHG",,,
Record-breaking weather (wettest month),Months/year,Number of months per year at least as wet as the wettest month between 1981 and 2010,UK CRI,pr,,,,,,"Disaster Risk Reduction, Agriculture and Food Security, Forestry/GHG",,,
Met Office heatwave,Events/year; duration (days); % chance,Occurrence of heatwave following Met Office definition: heatwave threshold is met when a location records a period of at least three consecutive days with daily maximum temperatures meeting or exceeding the heatwave temperature threshold [set between 25 (most of the country) and 28 (London and certain surrounding counties)]. Definitions valid only for the UK.,UK CRI,tasmax,,,,Climatological Heatwave Days,relatedTo,"Human health, Agriculture and Food Security, Transport, Energy, Forestry/GHG, Disaster Risk Reduction",,,
Amber heat-health alert,Events/year; duration (days); % chance,"Occurrence of a public health heat-health alert: potential warning if medium heat-health alert thresholds reached for maximum daytime temperature (32.0°C to 39.9°C for London, 30.0°C to 37.0°C for other areas) and night-time temperature (95th percentile or higher of summer ""nights""). Definitions valid only for the UK.",UK CRI,"tasmax, tasmin",,,,,,"Human health, Disaster Risk Reduction",,,
Cold weather alert,Events/year; duration (days); % chance,Occurrence of a public health cold weather alert: potential warning if daily mean temperature below 2.0°C for 5 days AND below 0.0°C for 48hrs or more. Definitions valid only for the UK.,UK CRI,tas,,,,,,"Human health, Energy, Disaster Risk Reduction",,,
Very hot days,Events/year; % chance,Days with maximum temperature above 35°C,UK CRI,tasmax,,TXge35,identicalTo,,,"Health, Disaster Risk Reduction, Agriculture and Food Security, Forestry/GHG, Energy",,,
Tropical nights,Events/year; % chance,Days with minimum temperature above 20°C,UK CRI,tasmin,,TR,identicalTo,,,"Health, Disaster Risk Reduction, Agriculture and Food Security, Forestry/GHG",,,
Heat stress,Events/year; % chance,Days with shade Wet Bulb Globe Temperature (WBGT) above 25,UK CRI,"tas, sfcWind, huss, rss, psl (air temperature at surface, surface wind, specific humidity, net surface shortwave flux, surface pressure at sea level)",This paper describes similar derivation of WBGT for climate projections: https://doi.org/10.1007/s00484-024-02776-5,,,,,"Human health, Disaster Risk Reduction",,,
Heating degree days,°C-days,Average annual heating degree days: relative to 15.5°C and 18°C,UK CRI,tas,,HDDheatn,relatedTo,,,"Energy, Human health",,,
Cooling degree days,°C-days,Average annual cooling degree days: relative to 18°C and 22°C,UK CRI,tas,,CDDcoldn,relatedTo,,,"Energy, Human health",,,
Road melt risk,Days/year,Days with Tmax above 25°C,UK CRI,tasmax,,SU,identicalTo,,,Transport,,,
Road accident risk,Days/year,Days with Tmin below 0°C,UK CRI,tasmin,,FD,identicalTo,,,Transport,,,
Rail: high temperatures,Days/year,"Days with Tmax above thresholds (>21, 24, 26, 30°C)",UK CRI,tasmax,,,,,,Transport,,,
Rail: bad weather days,Days/year,"Days with temperature, rainfall and/or windspeed beyond thresholds (not defined)",UK CRI,"tasmax, tasmin, pr, sfcWind",,,,,,Transport,,,
Start of crop growing season,Day of year (1 = January 1st),First day of first five-day period with average temperature above 5.6°C,UK CRI,tas,,,,,,Agriculture and Food Security,,,
Growing season length,Days,Length between start and end of growing season,UK CRI,tas,,GSL,identicalTo,,,Agriculture and Food Security,,,
Growing degree days,°C-days,Accumulated degree-days relative to 5.6°C,UK CRI,tas,,GDDgrown,relatedTo,,,Agriculture and Food Security,,,
Crop growth duration,Days,Time to accumulate the 1981-2010 average growing degree days,UK CRI,tas,,,,Growing degree days,derivedFrom,Agriculture and Food Security,,,
Start of field operations (Tsum200),Day of year (1 = January 1st),Day when accumulated temperatures above 0°C reach 200°C,UK CRI,tas,,,,,,Agriculture and Food Security,,,
Accumulated frost,°C-days,Sum of minimum temperatures below 0°C,UK CRI,tasmin,,,,,,Agriculture and Food Security,,,
Frost days,Days/year,Days with Tmin below 0°C,UK CRI,tasmin,,FD,identicalTo,,,"Agriculture and Food Security, Health, Cryosphere, Forestry/GHG, Disaster Risk Reduction",,,
Dairy cattle heat stress,Days/year,Days with a Temperature Humidity Index above 70.,UK CRI,"tas, hurs",,,,,,Agriculture and Food Security,,,
Wheat heat stress,Days/year; % chance,Days between 1 May and 15 June with maximum temperature above 32°C,UK CRI,tasmax,,,,,,Agriculture and Food Security,,,
Potential Soil Moisture Deficit,mm,Average annual maximum cumulative difference between rainfall and potential evaporation,UK CRI,"pr, evspsblpot (potential evaporation/CF: water_potential_evaporation_flux). Potential evaporation can be calculated using huss, rls, rss, sfcWind, tas, psl, pr",Based on Hannaford et al. (2023): https://doi.org/10.5194/essd-15-2391-2023,,,,,"Agriculture and Food Security, Water Resources",,,
Days above field capacity,Days/year,Number of days with soil moisture at or above field capacity,UK CRI,"mrso (mass_content_of_water_in_soil), mrsofc (soil_moisture_content_at_field_capacity) or calculate using land surface model: pr, tas, huss, rls, rss, sfcWind, psl",Calculated using hydrological model,,,,,"Agriculture and Food Security, Water Resources",,,
SPI drought,Proportion of time,Number of months with a Standardised Precipitation Index (calculated from 3-month accumulated rainfall) less than -1.5.,UK CRI,pr,,SPI,derivedFrom,,,"Agriculture and Food Security, Water Resources",,,
SPEI drought,Proportion of time,Number of months with a Standardised Precipitation Evaporation Index (calculated from 6-month accumulated rainfall minus potential evaporation) less than -1.5.,UK CRI,"pr, evspsblpot",,SPEI,derivedFrom,,,"Agriculture and Food Security, Water Resources",,,
Met Office Fire Danger,Days/year; % chance greater than the current mean,"Days with the MOFSI index above specific thresholds: >17.35 for very high, >52.538 for exception. Definitions valid only for the UK.",UK CRI,"tas, hurs, sfcWind, pr, evspsblpot",Calculation based on Canadian Forest Fire Weather Index and described in detail in: Arnell et al. (2021) https://doi.org/10.1088/1748-9326/abd9f2,,,High Fire Danger Days,relatedTo,"Disaster Risk Reduction, Forestry/GHG",,,
Wildfire: Daily Hazard Assessment,Days/year; % chance greater than the current mean,"Days with MOFSI components above specific thresholds. Components are FFMC (Fine Fuel Moisture Code), ISI (Initial Spread Index), DMC (Duff Moisture Code), DC (Drought Code) and FWI (Fire Weather Index). Thresholds are season-specific and available for FFMC, ISI, and FWI. Relates to amber and red warning conditions. An ‘amber’ warning level means that severe wildfire conditions are forecast with a likelihood of difficult-to-control wildfires. The ‘red’ level means extreme wildfire conditions are forecast, and occurs when the amber thresholds are passed and other weather conditions are conducive to fire (persistent high temperatures, low humidity and high windspeeds).",UK CRI,"tas, hurs, sfcWind, pr, evspsblpot",Described in detail in Arnell et al. (2021) https://doi.org/10.1088/1748-9326/abd9f3,,,Met Office Fire Danger; Wildfire: FFMC 99th percentile; Fire Weather Index,relatedTo,"Disaster Risk Reduction, Forestry/GHG",,,
Wildfire: FFMC 99th percentile,Days/year,"Days with Fine Fuel Moisture Code component of MOFSI above the 99th percentile over the period 1981-2010, calculated by season. FFMC index represents the availability of dry ‘tinder’ material in and around the vegetation susceptible to ignition.",UK CRI,"tas, hurs, sfcWind, pr",Described in detail in Arnell et al. (2021) https://doi.org/10.1088/1748-9326/abd9f4,,,Met Office Fire Danger; Wildfire: Daily Hazard Assessment; Fire Weather Index,relatedTo,Forestry/GHG,,,
River runoff,% change from 1981-2010 mean,Annual and seasonal river runoff,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Disaster Risk Reduction, Transport",,,
River flood (2-year return period),% change from 1981-2010 mean,Magnitude of the 2-year flood,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,River flood (ClimateADAPT),identicalTo,"Disaster Risk Reduction, Transport",,,
River flood (5-year return period),% change from 1981-2010 mean,Magnitude of the 5-year flood,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,River flood (ClimateADAPT),identicalTo,"Disaster Risk Reduction, Transport",,,
River flood (10-year return period),% change from 1981-2010 mean,Magnitude of the 10-year flood,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,River flood (ClimateADAPT),identicalTo,"Disaster Risk Reduction, Transport",,,
River flood (likelihood of current 10-year event),% chance of occurring,Likelihood of the 10-year flood,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,River flood; River flood (10-year return period),relatedTo,"Disaster Risk Reduction, Transport",,,
Low flows (2-year return period),% change from 1981-2010 mean,Change in the 2-year lowest 7-day average river flow,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
Low flows (10-year return period),% change from 1981-2010 mean,Change in the 10-year lowest 7-day average river flow,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
Low flows (likelihood of current 10-year event),% chance of occurring,Likelihood of 20-year low river flows,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
12-month river drought (extreme),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 12-month accumulated river flow) less than -1.5.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
12-month river drought (severe),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 12-month accumulated river flow) less than-2.0.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
24-month river drought (extreme),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 24-month accumulated river flow) less than -1.5.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
24-month river drought (severe),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 24-month accumulated river flow) less than -2.0.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
