Type of analysis,Method ,Aliases for the method or analysis,Task where it is applied,Is this process used in specific situations? State those situations.,"Definition – AMS, WMO, RoyalMetSoc",Colour,Meaning
Spatial downscaling,,,Spatial Downscaling Application,,"Downscaling is a method that derives local- to regional-scale (10 to 100 km) information from larger-scale models or data analyses. Two main methods exist: dynamical downscaling and empirical/statistical downscaling. The dynamical method uses the output of regional climate models, global models with variable spatial resolution or high-resolution global models. The empirical/statistical methods develop statistical relationships that link the large-scale atmospheric variables with -local/-regional climate variables. In all cases, the quality of the driving model remains an important limitation on the quality of the downscaled information.
https://unterm.un.org/unterm2/en/search?searchTerm=downscaling&searchType=0&searchLanguages=en&languagesDisplay=en&acronymSearch=true&localDBSearch=true&termTitleSearch=true&phraseologySearch=false&footnoteSearch=false&fullTextSearch=false&facetedSearch=true&buildSubjectList=false",,Warning
Spatial downscaling,Statistical downscaling,,Spatial Downscaling Application,When higher spatial resolution data required,"Downscaling is a method for obtaining high-resolution climate or climate change information from relatively coarse-resolution global climate models (GCMs). Typically, GCMs have a resolution of 150-300 km by 150-300 km. Many impacts models require information at scales of 50 km or less, so some method is needed to estimate the smaller-scale information. Statistical downscaling first derives statistical relationships between observed small-scale (often station level) variables and larger (GCM) scale variables, using either analogue methods (circulation typing), regression analysis, or neural network methods. Future values of the largescale variables obtained from GCM projections of future climate are then used to drive the statistical relationships and so estimate the smaller-scale details of future climate (see also weather generators). https://unfccc.int/files/adaptation/methodologies_for/vulnerability_and_adaptation/application/pdf/statistical_downscaling.pdf",,
Spatial downscaling,Dynamical downscaling using climate models,,Spatial Downscaling Application,When higher spatial resolution data required,"Downscaling is a method for obtaining high-resolution climate or climate change information from relatively coarse-resolution global climate models (GCMs). Typically, GCMs have a resolution of 150-300 km by 150-300 km. Many impacts models require information at scales of 50 km or less, so some method is needed to estimate the smaller-scale information. Dynamical downscaling uses a limited-area, high-resolution model (a regional climate model, or RCM) driven by boundary conditions from a GCM to derive smaller-scale information. RCMs generally have a domain area of 106 to 107 km2 and a resolution of 20 to 60 km. https://unfccc.int/files/adaptation/methodologies_for/vulnerability_and_adaptation/application/pdf/dynamical_downscaling.pdf",,
Spatial downscaling,AI methods (experimental),,Spatial Downscaling Application,When computer resource requirements are too great,"As for statistical downscaling, but using more complex models with multiple steps and layers that typically cannot be expressed in a single equation.
https://apps.epri.com/climate-data-user-guide/en/climate-model-downscaling.html",,
Bias correction,,"Bias adjustment, calibration, bias calibration, bias correction using statistical techniques",Data Preprocessing Application,When combining model and obs climate data,"Algorithms that correct and minimise systematic differences of simulated GCM and RCM outputs relative to observational data.
Cannon et al. (2015) https://doi.org/10.1175/JCLI-D-14-00754.1",,
Bias correction,Delta method,Delta change method,Data Preprocessing Application,,"The delta change method applies the climate change trend from the model to historical observations, therefore generating modified observations rather than a modified model output. So the output from this method has the same number of timesteps as the observations data, and not the same number as the future climate model like other debiasers.
Multiplicative change is typically used for precipitation and additive scaling for temperature.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-deltachange-class",,
Bias correction,Quantile mapping,QM,Data Preprocessing Application,,"Quantile mapping maps every quantile of the climate model distribution to the corresponding quantile in observations during the reference period. Optionally, additive or multiplicative detrending of the mean can be applied to make the method trend preserving in the mean.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-quantilemapping-class",,
Bias correction,Linear scaling,,Data Preprocessing Application,,"Linear scaling corrects a climate model by the difference in the mean of observations and the mean of the climate model on the reference period, either additively or multiplicatively.
The present day model bias is calculated and then either subtracted or divided from the future climate model data.
Multiplicative scaling is classically used for precipitation and additive scaling for temperature. Additive scaling amounts to a simple mean bias correction, whilst multiplicative one adjusts both mean and variance, but keeps their ratio constant.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-linearscaling-class",,
Bias correction,Quantile delta mapping,QDM,Data Preprocessing Application,,"A parametric quantile mapping method that also attempts to be trend-preserving. This method bias corrects the future climate model data directly using reference period observations. This is then multiplied by the quotient of future climate model data and a quantile mapping between past and future climate model data to account for the change from past to future period in all quantiles.
Delta Quantile Mapping is approximately trend preserving in all quantiles because the absolute or relative change is calculated and applied for each quantile individually.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-quantiledeltamapping-class",,
Bias correction,Scale distribution mapping,SDM,Data Preprocessing Application,,"Scale distribution mapping (SDM) is a parametric quantile mapping approach that also attempts to be trend preserving in all quantiles. In addition to the quantile mapping the method also contains an event likelihood adjustment.
SDM scales the observed distribution by changes in magnitude and additionally likelihood of events – either multiplicatively (for precipitation) or additively (for temperature).
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-scaleddistributionmapping-class",,
Bias correction,CDF-t,"CDFt, Cumulative Distribution Function transform",Data Preprocessing Application,,"A non-parametric quantile mapping method that attempts to be trend-preserving in all quantiles. CDFt applies a concatenation between a quantile mapping of future and historical climate model data and a quantile mapping of the future climate model with historical observations. It also includes a running window over the future period to account for changes in the simulated trend.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-cdft-class",,
Bias correction,Equidistant CDF matching,,Data Preprocessing Application,,"A parametric quantile mapping method that attempts to be trend-preserving in all quantiles. It applies quantile-wise correction by adding the difference between a quantile mapping of observations and future values and a quantile mapping of historical climate model values to the future climate model ones.
In essence, this method says that future climate model data can be bias-corrected directly with reference period observations, if the quantile specific difference between present-day and future climate model simulations is taken into account. This allows for changes in higher moments in the climate model, compared to standard Quantile Mapping where just the mean is assumed to change in future climate.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-ecdfm-class",,
Bias correction,ISIMIP3BASD,,Data Preprocessing Application,,"A semi-parametric quantile mapping method that attempts to be trend-preserving in all quantiles by generating ‘pseudo future observations’ and executing the quantile mapping between the future climate model and the pseudo future observations. Refer to Lange et al. (2019) for further information.
https://ibicus.readthedocs.io/en/latest/reference/debias.html#ibicus-debias-isimip-class
Lange, S.: Trend-preserving bias adjustment and statistical downscaling with ISIMIP3BASD (v1.0), Geosci. Model Dev., 12, 3055–3070, https://doi.org/10.5194/gmd-12-3055-2019, 2019.",,
Global warming level extraction,,,Global warming level extraction,,"Global warming levels (GWLs) offer a way to communicate future climate change. In this approach, the regional climate change response is shown relative to the average global warming (e.g., 0.5°C, 1.0°C, 1.5°C, 2.0°C) above a specified period, typically pre-industrial (1850-1900).
https://climatedata.ca/resource/introduction-to-global-warming-levels/",,
Global warming level extraction,Time slice,"Time sampling, time slicing",Global warming level extraction,"Most common: almost all applications, with or without particular emissions scenario","The time slice method identifies the point in time when a specific global mean surface temperature increment (e.g., 1.5°C, 2°C) above pre-industrial (usually 1850–1900) is reached in each GCM simulation. A multi-year period - 10 years on either side of this central estimate - is selected (to account for uncertainty in the timing of reaching a given warming level) and extracted from each respective RCM as a 21-year time slice.
Combined James et al. (2017) https://doi.org/10.1002/wcc.457 and Hanlon et al. (2021) https://doi.org/10.1007/s10584-021-03100-5",,
Global warming level extraction,Model sub-selection,Sub-selection,Global warming level extraction,No strict future time period requirements: allows to select all models exceeding the GWL,"The model sub-selection approach involves filtering climate model simulations to include only those that reach or exceed a specific global mean temperature threshold (e.g., 1.5°C, 2°C, 4°C). This method enables the analysis of regional climate impacts at distinct global warming levels by selecting subsets of underlying GCM runs based on their temperature response.
Copilot-modified from James et al. (2017) https://doi.org/10.1002/wcc.457",,
Global warming level extraction,Pattern scaling,,Global warming level extraction,,"Pattern scaling is an emulation technique that takes advantage of the fact that local and seasonal changes in surface climate are often approximately linear in the rate of warming over land and across the globe. This allows interpolation away from a limited number of available GCM simulations, to assess alternative future emissions scenarios. Climate-change patterns (or “patterns”) are coefficients of the regression between areal mean warming over Earth's land regions and local changes in surface climatology. They are derived by comparison against outputs from GCMs, and presented as local monthly mean changes over land per degree of mean warming over land. Pattern scaling is a simple procedure in which these patterns are multiplied by areal mean warming over land to give local monthly changes in climatology.
Zelazowski et al. (2018) https://doi.org/10.5194/gmd-11-541-2018",,
Statistical analyses,,,,,,,
Statistical analyses - Descriptive statistics,,,,,"Wikidata: Q380344
https://www.wikidata.org/wiki/Q380344",,
Statistical analyses - Descriptive statistics,Mean,,Index Computation; Data Preprocessing Application; Spatial Aggregation; Data Postprocessing Application; Impact analysis postprocessing,"Spatial aggregation, temporal aggregation","Wikidata: Q19033
https://www.wikidata.org/wiki/Q19033",,
Statistical analyses - Descriptive statistics,Standard deviation,,Uncertainty Quantification Application,,"Wikidata: Q159375
https://www.wikidata.org/wiki/Q159375",,
Statistical analyses - Descriptive statistics,Quantiles,"Variants: median, quartile, decile, percentile",Climate Change Quantification Application; Uncertainty Quantification Application,,"[Note to CNR: can also reference wikidata Q578714] 
A quantile defines a particular part of a data set, i.e., a quantile determines how many values in a distribution are above or below a certain limit. Special quantiles are the quartile (quarter), the decile (tenth), and percentiles (hundredth).
https://www.statista.com/statistics-glossary/definition/356/quantile/",,
Statistical analyses - Descriptive statistics,Median,,Data preprocessing Application; Data Postprocessing Application; Impact analysis postprocessing,,"Wikidata: Q226995
https://www.wikidata.org/wiki/Q226995",,
Statistical analyses - Descriptive statistics,Maximum,,Index Computation,,"Wikidata: Q10578722
https://www.wikidata.org/wiki/Q10578722",,
Statistical analyses - Descriptive statistics,Minimum,,Index Computation,,"Wikidata: Q10585806
https://www.wikidata.org/wiki/Q10585806",,
Statistical analyses - Descriptive statistics,Duration,,Index Computation,,"Wikidata: Q2199864
https://www.wikidata.org/wiki/Q2199864",,
Statistical analyses - Descriptive statistics + error metric: Q56062092,Bias quantification,,Climate Simulation Evaluation,,"Model bias is defined as the average of the difference between a GCM’s simulations and some baseline values. The baseline values can come from observations or a benchmark model simulation, or ensemble mean. Bias indicates a systematic difference, and bias relative to reliable observations is interpreted as “error”. [1] Bias can be quantified by a mean of differences between a simulation member and baseline (or mean absolute error, MAE, in the case of deriving absolute errors) or quantile difference (especially considering extremes).
[1] https://glisa.umich.edu/wp-content/uploads/2021/03/Global-Climate-Model-Bias-and-Bias-Correction.pdf",,
Statistical analyses - ensemble statistics,,,Climate Change Quantification Application,,A sub-category of descriptive statistics dedicated to ensemble analysis. [Notes to CNR - must be linked in some way to the respective method in Statistical analysis - Descriptive statistics],,
Statistical analyses - ensemble statistics,Ensemble mean,,Climate Change Quantification Application,,"The ensemble mean is the average of the output values of the ensemble members (i.e. the sum of the values divided by the number of ensemble members unless models are weighted).
Each ensemble member result is the sum of a smooth forced signal and the accompanying natural variability noise. The natural variability is different for each model/ensemble member and tends to average out so that the ensemble mean estimates the smooth forced signal. The multi-model ensemble mean represents those features of projected climate change that survive ensemble averaging and so are common to models as a group. https://confluence.ecmwf.int/display/FUG/Section+8.1.2+ENS+Mean+and+Spread
https://archive.ipcc.ch/ipccreports/tar/wg1/347.htm",,
Statistical analyses - ensemble statistics,Ensemble median,,Climate Change Quantification Application,,The ensemble median is the middle value of the output values of the ensemble members when sorted into a list (i.e. the same number of ensemble member values below and above the middle value). The median lies at the centre of the range of the ensemble members and can be more descriptive of the data set than the mean. https://confluence.ecmwf.int/display/FUG/Section+8.1.2+ENS+Mean+and+Spread,,
Statistical analyses - ensemble statistics,Ensemble standard deviation,,Uncertainty Quantification Application,,"The multi-model ensemble variance, assuming no correlation between the forced and variability components, measures the inter-model scatter of the forced component and the natural variability. The scatter of results about the ensemble mean (measured by the ensemble variance/standard deviation) is an indication of uncertainty in the results and is seen to increase with time. https://archive.ipcc.ch/ipccreports/tar/wg1/347.htm",,
Statistical analyses - ensemble statistics,Ensemble range,,Uncertainty Quantification Application,,"The ensemble range (also known as ensemble value range) is a confidence measure that provides information about the ensemble spread of the projected climate change signals. The ensemble range indicates the range of the central half of the models, i.e. the models that group around the median of the models (i.e. the interquartile range).
https://climateinformation.org/knowledge-base/how-to-interpret-ensemble-value-range/",,
Statistical analyses - ensemble statistics,Model weighting,Weighted mean,Climate Change Quantification Application,"When multiple climate models are being used, scientists want to combine them in a way to capture how well the climate models perform.","Climate model weighting is a technique used to improve the reliability and reduce bias and spread of climate projections by giving different climate models in an ensemble different levels
of influence. Instead of averaging all models equally, this approach assigns weights to each ensemble member.
Weights are typically calculated based on historical model performance in several metrics as well as by their independence to all the other models in the ensemble based on their output fields in several metrics.
Based on Knutti et al. (2017) https://doi.org/10.1002/2016GL072012
https://docs.esmvaltool.org/en/latest/recipes/recipe_climwip.html",,
Statistical analyses - Time series analysis,,,Climate Change Quantification Application; Data Preprocessing Application; Data Postprocessing Application; Impact analysis postprocessing,,"Wikidata: Q11850042
https://www.wikidata.org/wiki/Q11850042",,
