Tasks,Subtasks,Parent Task,Task description,Associated entities,Range,Backward dependency,Forward dependency,Conflict,Input,Output,Type of info,Condition,Comment,Role,In DSS?,FF comments,Colour code,
Request climate information,,Create case,The task of requesting the climate information.,,,,,,,,Obligatory,,,Information requester,NO,,,Change to verb form
Request user background information,,Create case,The task of requesting user background information.,,,,,,,,Obligatory,,,Case creator,NO,,,
Provide background information,,Create case,The task of providing background information such as information about the organisation and their climate information needs,Text,No,,,,,,Obligatory,,,Information requester/Case creator,YES,,,
,Provide organization name,Provide background information,The task of providing the name of the customer organisation.,Text,No,,,,,,Obligatory,,,Information requester,YES,,,
,Describe organization type,Provide background information,The task of describing the type of the customer organisation.,Organisation Type,No,,,,,,Obligatory,,,Information requester,YES,,,
,Describe organization size,Provide background information,"The task of describing the size (e.g. small, medium, large) of the customer organisation.",Organization Size,No,,,,,,Optional,,Neha promised to come up with the size definitions,Information requester,MAYBE,,,
,Describe organization operating sector,Provide background information,The task of describing the operating sector of the customer organisation.,Sector,No,,,,,,Optional,,Can use sectors associated with hazards,Information requester,MAYBE,,,
,Provide years of experience in using climate data,Provide background information,"Less than 1 year
1-3 years
4-6 years
7-10 years
More than 10 years",Number,Yes,,,,,,Optional,,Can be described in one of the text fields regarding the case,Information requester,MAYBE,,,
Provide climate case information,,Create case,The task of providing climate case information such as spatial region and planning time range.,Text,No,,,,,,Obligatory,,,,YES,Looks good to me,,
,Add case title,Provide climate case information,The task of providing a title for the case.,Text,No,,,,,,Obligatory,,,Information requester/Case creator,YES,,,
,Define customer needs,Provide climate case information,The task of stating the climate-related challenges faced by the organisation or by its operational activities.,Text,No,,,,,,Obligatory,,,Information requester,YES,,,
,Define request goal,Provide climate case information,The task of stating the main goals for which the customer is seeking climate information.,Text,No,,,,,,Optional,,,Information requester,YES,,,
,Add expected deadline,Provide climate case information,The task of setting a deadline (a date in the form MM/YYYY) for climate intelligence provision.,Date,No,,,,,,Optional,,I guess we need to know when it should be ready to be able to plan,Information requester/Case creator,NO,,,
,Add required resources,Provide climate case information,"The task of estimating the required resources (e.g., human, computational, financial).",Text,No,,,,,,Optional,,Would be good if this was also planned before delivering climate service,Case creator,NO,"This feels like it should sit under ""Add expected deadline""",,
,Indicate spatial region,Provide climate case information,The task of indicating the geographic area of interest.,Spatial region,No,,,,,Spatial region (custom or predefined cordex domain),Obligatory,,,Information requester/Case creator,YES,,,
,Define planning time horizon,Provide climate case information,"The task of stating the overall time horizon over which the climate information is required. If multiple horizons are of interest, provide the time horizon that covers them all. In case such information is not available or not explicitly defined, provide the typical time horizon for organisations' planning decisions.
",Date (range),Yes,,,,,Time range,Obligatory,,,Information requester/Case creator,YES,,,
Provide decision context information,,Create case,The task of providing decision context information.,Text,No,,,,,,Obligatory,,was climate question,Information requester/Case creator,YES,Again. These look good. It did stimulate questions about whether we need to include organisational standard practices regarding certain hazards...but this could be a bit detailed...not sure.,,
,Formulate climate questions,Provide decision context information,The task of formulating key questions related to climate information that the customer seeks to answer.,Text,No,,,,,,Obligatory,,"In HACID, we diced that each case can have one or more climate questions, and that each climate question can be associated to one or more hazards.",Information requester,YES,"We need a better phrase than ""climate question"". We can keep it at the task level but perhaps use something else in the ""Task Description"", i.e. The task of formulating questions related to climate information that the customer seeks to answer",,
,Identify hazards,Provide decision context information,The task of identifying the climate hazards (a climate-related physical event or process) that impact the customer organisation.,Hazard,No,,,,,Relevant Hazard,Obligatory,,,Information requester/Case creator,YES,,,
